locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
MAHĀBHĀRATA 7,2783 → vulg	mahabharata 7 2783 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,2394. fgg → vulg	mahabharata 7 239 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,1030. fgg → vulg	mahabharata 12 1030 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,13516. fg → vulg	mahabharata 3 1316 fg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1,6998 → vulg	mahabharata 1 6998 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 14,1154 → vulg	mahabharata 1 11 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1, 6853 → vulg	mahabharata 1 683 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,6852 → vulg	mahabharata 12 682 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12, 6846 → vulg	mahabharata 12 686 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12, 6849 → vulg	mahabharata 12 689 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,10660 → vulg	mahabharata 3 10660 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
PĀṆINI'S acht Bücher grammatischer Regel 1,3,40, Vārtt.	panini s acht bucher grammatischer regel 1 3 0 vartt					no-match	no-match	no curated identity matches this resolved locus			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,2760 → vulg	mahabharata 3 2760 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
RĀMĀYAṆA. Ohne eine nähere Angabe ist be 2,25, GORR	ramayana ohne eine nahere angabe ist be 2 2 gorr	ramayana	Rāmāyaṇa	epic-sutra	part of the older core, c. 5th-4th c. BCE - 1st c. CE	dharmamitra	canon_dm	DM family mode 8/8 per-kāṇḍa chunks Epic & Sutra; corroborates the seed's DCS call (Rām -500..299)			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
20,a,4 v. u	20 a v u					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 1,24 → vulg	mahabharata 1 2 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 2,243 → vulg	mahabharata 2 23 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,5873 → vulg	mahabharata 13 873 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,13862 → vulg	mahabharata 3 13862 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 5,1166. fg → vulg	mahabharata 1166 fg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 7,2932 → vulg	mahabharata 7 2932 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
Journal of the American Oriental Society 6,520, p	journal of the american oriental society 6 20 p					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 1,7349 → vulg	mahabharata 1 739 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 12,6855. fgg → vulg	mahabharata 12 68 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 14,1415. fgg → vulg	mahabharata 1 11 fgg vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 14,663 → vulg	mahabharata 1 663 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
